,50 Dubs,1 Eccentric Muscle Up,8 Wall Balls (30/20),Act.: Recliners | Lat Pulldowns | Iso Kickbacks | Glute Bridges,3 Push Jerk,Row (cals),8 Thrusters (135/85),20yd Bear Crawls (pvc),10yd Broad Jumps,Act.: Prone IYT's | Prone BNP | Serratus Ant. Act. (both) | Iso Lat Pulldown,20 Dubs,5 Deadlifts (275/185),2-3 attempts,for max reps,"3 Box Jump (30""/24"")",Act: Prone Iso Kickbacks | Recliners | Clams | Hip Raises,Wall Balls (30/20),10yd Handstand Walk,8 Goblet Squats (70/55),50 Ring Dips,10 Front Squats ,,3-3-3-2-2-2-1-1-1,21 Wall Balls (20/14)
,15 Lunges (135/85),6 Floor Press (95/65),5 Burpees,Fxnl: Goblet Squats (eccentric/pulse/pause),8 Bench Press,Burpees,15 Seated Ham Curls,15 Banded Rows,10 Single Leg Squats (on top of box),Fxnl: Overhead Plate Hold | TRS Teapot to Plank (or plank) | Shoulder Press,15 Ring Dips,10 Burpees,,Min 1: Ring rows (ft on box),15 Lunges (155/95),Fxnl: Glute walking | Pulse Squats (.25/.5./full),20yd Sled Drags (big sled; 135)*,15 DB Power Clean (50's/35's),"14 Step Ups (24"")",30 Muscle Ups,5 Push Press,,Bench,18 Pull Ups
,,,,,,Dubs,,8 Floor Press (185/105),10 Shoulder Press (115/75),,20yd Seal Drags,,Row 250m,Min 2: Push Jerk (155/95),,,Bench Press (185/125),30 Dubs,30 Lateral Hops,5min Plank,,,,15 Kb Swings (55/35)
,,,,,,Rest,,,,,5 Muscle Ups,,,Min 3: Push Ups,,,Kneading Planks (pvc),,,,*CYOW,,,12 HSPU
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,>= 135/85,,,
,,,,,,Rest,,,,,5 Chest to Bar Pull Ups,,,Min 3: Push Ups,,,Kneading Planks (pvc),,,,*CYOW,,,12 HSPU
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Foundation,5rds; for time,12min AMRAP,EMOM for 10min,Keep E'rything out yo back,7rds; for heaviest weight,6rds; 1min/station,12min AMRAP,5rds; for time,6rds; for time,Fix your Upper Back/Neck,15min AMRAP,5 rounds; for time,For time,EMOM for 12min:,5 rounds; for time,Creating stable/engaged hips,15min AMRAP; Teams,5 rounds; for time ,12min AMRAP,for time; CYOO,15 |000lbs | for time (15min cap),,For max weight,4 rounds; for time
,90 Singles,3 Banded Pull Ups,8 Wall Balls Thrusters (20/14),Stretch: Hams | Quads | Glutes | QL Sm | Lats,3 Shoulder Press,Row (cals),8 Db Thrusters (40's/25's),:30 Planks,10 Squat Jump,Stretch: Scap Sm. | Trap Sm. | Chest Sm. | OH Stretch | Cat-cows | Radial N. Gl.,60 Dubs,5 Deadlifts (185/125),2-3 attempts,for max reps,3 Box Jump (AHiAP),Stretch: Elevated Pigoen | Elevated Superhero | QL Smash | Couch,Wall Balls Thrusters (20/14),:30 Teapot,8 Goblet Squats (40/25),50 Incline Push Ups,10 Front Squats ,,3-3-3-2-2-2-1-1-1,21 Wall Ball Thrusters (20/14)
,15 Lunges (bw),6 Floor Press (95/65),5 Burpees (no push up),Act.: Recliners | Lat Pulldowns | Iso Kickbacks | Glute Bridges,8 Bench Press,Burpees (no push up),15 Seated Ham Curls,15 Banded Rows,10 Single Leg Squats (to box),Act.: Prone IYT's | Prone BNP | Serratus Ant. Act. (both) | Iso Lat Pulldown,15 Incline Push Ups,10 Burpees,,Min 1: Ring rows,15 Lunges (40/25),Act: Prone Iso Kickbacks | Recliners | Clams | Hip Raises,40yd Sled Drags (135)*,15 DB Power Clean (25's/15's),14 Step Ups (stairs),50 Banded Pull Ups,5 Shoulder Press,,Bench,18 Ring Rows
,,,,Fxnl: Goblet Squats (eccentric/pulse/pause),,Singles,,8 Floor Press (115/75),10 Shoulder Press (75/45),Fxnl: Overhead Plate Hold | TRS Teapot to Plank (or plank) | Shoulder Press,1min Plank,,Row 250m,Min 2: Shoulder Press (75/45),,Fxnl: Glute walking | Pulse Squats (.25/.5./full),Bench Press (115/75),90 Dubs,30 Lateral Hops,5min Plank,,,,15 Kb RDL (55/35)
,,,,,,Rest,,,,,5 Banded Pull Ups,,,Min 3: Incline Push Ups,,,Kneading Planks (pvc),,,,*CYOW,,,12 Shoulder Press (75/45)
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,<= 75/45,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
At-Home,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
